"","original","country","type","idREZE","department","apYear","apSerie","apID","date","journal","filename","processDate"
"1","Maroc, NAT, 2021X 006299, 085","Maroc","NAT","2021X006299","085","2021","006","299","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"2","Djibouti, NAT, 2020X 026450, 013","Djibouti","NAT","2020X026450","013","2020","026","450","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"3","Comores, REI, 2021X 002226, 013","Comores","REI","2021X002226","013","2021","002","226","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"4","Syrie, NAT, 2021X 006041, 092","Syrie","NAT","2021X006041","092","2021","006","041","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"5","Algérie, NAT, 2021X 006847, 076","Algérie","NAT","2021X006847","076","2021","006","847","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"6","Liban, NAT, 2021X 007040, 075","Liban","NAT","2021X007040","075","2021","007","040","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"7","Tunisie, NAT, 2021X 304301, 972","Tunisie","NAT","2021X304301","972","2021","304","301","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"8","Russie, NAT, 2021X 005331, 054","Russie","NAT","2021X005331","054","2021","005","331","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"9","Liban, NAT, 2021X 005286, 075","Liban","NAT","2021X005286","075","2021","005","286","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"10","67200, EFF, 2021X 303747, 067","France","EFF","2021X303747","067","2021","303","747","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"11","Emirats arabes unis, NAT, 2021X 303747, 067","Emirats arabes unis","NAT","2021X303747","067","2021","303","747","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"12","Syrie, NAT, 2021X 005218, 075","Syrie","NAT","2021X005218","075","2021","005","218","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"13","89100, EFF, 2021X 303992, 089","France","EFF","2021X303992","089","2021","303","992","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
"14","45300, EFF, 2020X 031400, 045","France","EFF","2020X031400","045","2020","031","400","20210814","0188","joe_20210814_0188_c000.pdf","Wed Aug 18 12:36:37 2021"
