"original","country","type","idREZE","department","apYear","apSerie","apID","date","journal"
"Maroc, NAT, 2021X 006114, 095","Maroc","NAT","2021X006114",95,"2021X","006","114",2021-08-05,"0180"
"Liban, NAT, 2021X 003221, 075","Liban","NAT","2021X003221",75,"2021X","003","221",2021-08-05,"0180"
"Irak, NAT, 2021X 006136, 057","Irak","NAT","2021X006136",57,"2021X","006","136",2021-08-05,"0180"
"Irak, NAT, 2021X 006137, 057","Irak","NAT","2021X006137",57,"2021X","006","137",2021-08-05,"0180"
"75010, EFF, 2021X 302256, 078","France","EFF","2021X302256",78,"2021X","302","256",2021-08-05,"0180"
"Liban, NAT, 2021X 005877, 092","Liban","NAT","2021X005877",92,"2021X","005","877",2021-08-05,"0180"
"Soudan, NAT, 2021X 303430, 074","Soudan","NAT","2021X303430",74,"2021X","303","430",2021-08-05,"0180"
"Algérie, NAT, 2021X 303177, 069","Algérie","NAT","2021X303177",69,"2021X","303","177",2021-08-05,"0180"
"76100, EFF, 2021X 004505, 076","France","EFF","2021X004505",76,"2021X","004","505",2021-08-05,"0180"
"76100, EFF, 2021X 004505, 076","France","EFF","2021X004505",76,"2021X","004","505",2021-08-05,"0180"
"Algérie, NAT, 2021X 004505, 076","Algérie","NAT","2021X004505",76,"2021X","004","505",2021-08-05,"0180"
"76100, EFF, 2021X 004505, 076","France","EFF","2021X004505",76,"2021X","004","505",2021-08-05,"0180"
"Egypte, NAT, 2021X 006295, 075","Egypte","NAT","2021X006295",75,"2021X","006","295",2021-08-05,"0180"
"Espagne, NAT, 2021X 301091, 078","Espagne","NAT","2021X301091",78,"2021X","301","091",2021-08-05,"0180"
"Russie, NAT, 2020X 032301, 067","Russie","NAT","2020X032301",67,"2020X","032","301",2021-08-05,"0180"
"58000, EFF, 2021X 303590, 058","France","EFF","2021X303590",58,"2021X","303","590",2021-08-05,"0180"
"Irak, NAT, 2021X 303590, 058","Irak","NAT","2021X303590",58,"2021X","303","590",2021-08-05,"0180"
"Tunisie, NAT, 2021X 301097, 075","Tunisie","NAT","2021X301097",75,"2021X","301","097",2021-08-05,"0180"
"Maroc, NAT, 2021X 006115, 076","Maroc","NAT","2021X006115",76,"2021X","006","115",2021-08-05,"0180"
"Maroc, NAT, 2021X 302586, 010","Maroc","NAT","2021X302586",10,"2021X","302","586",2021-08-05,"0180"
"Egypte, NAT, 2020X 026340, 091","Egypte","NAT","2020X026340",91,"2020X","026","340",2021-08-05,"0180"
"Maroc, NAT, 2021X 003279, 013","Maroc","NAT","2021X003279",13,"2021X","003","279",2021-08-05,"0180"
"Maroc, NAT, 2020X 031787, 091","Maroc","NAT","2020X031787",91,"2020X","031","787",2021-08-05,"0180"
"Liban, NAT, 2021X 005878, 092","Liban","NAT","2021X005878",92,"2021X","005","878",2021-08-05,"0180"
"Comores, NAT, 2021X 303980, 084","Comores","NAT","2021X303980",84,"2021X","303","980",2021-08-05,"0180"
"Soudan, NAT, 2021X 000968, 062","Soudan","NAT","2021X000968",62,"2021X","000","968",2021-08-05,"0180"
"Bénin, NAT, 2021X 000854, 062","Bénin","NAT","2021X000854",62,"2021X","000","854",2021-08-05,"0180"
"Tunisie, NAT, 2021X 301675, 075","Tunisie","NAT","2021X301675",75,"2021X","301","675",2021-08-05,"0180"
"Maroc, EFF, 2021X 002361, 092","Maroc","EFF","2021X002361",92,"2021X","002","361",2021-08-05,"0180"
"Maroc, NAT, 2021X 002361, 092","Maroc","NAT","2021X002361",92,"2021X","002","361",2021-08-05,"0180"
"Maroc, NAT, 2021X 005400, 075","Maroc","NAT","2021X005400",75,"2021X","005","400",2021-08-05,"0180"
"78150, EFF, 2021X 301090, 078","France","EFF","2021X301090",78,"2021X","301","090",2021-08-05,"0180"
"Irak, EFF, 2021X 303590, 058","Irak","EFF","2021X303590",58,"2021X","303","590",2021-08-05,"0180"
"Irak, EFF, 2021X 303590, 058","Irak","EFF","2021X303590",58,"2021X","303","590",2021-08-05,"0180"
"Mongolie, NAT, 2021X 005366, 013","Mongolie","NAT","2021X005366",13,"2021X","005","366",2021-08-05,"0180"
"Biélorussie, NAT, 2020X 004246, 027","Biélorussie","NAT","2020X004246",27,"2020X","004","246",2021-08-05,"0180"
"Algérie, NAT, 2021X 303434, 067","Algérie","NAT","2021X303434",67,"2021X","303","434",2021-08-05,"0180"
"Liban, NAT, 2020X 033342, 084","Liban","NAT","2020X033342",84,"2020X","033","342",2021-08-05,"0180"
"Iran, NAT, 2021X 007271, 074","Iran","NAT","2021X007271",74,"2021X","007","271",2021-08-05,"0180"
"Maroc, NAT, 2021X 302918, 049","Maroc","NAT","2021X302918",49,"2021X","302","918",2021-08-05,"0180"
"Maroc, NAT, 2021X 004888, 092","Maroc","NAT","2021X004888",92,"2021X","004","888",2021-08-05,"0180"
"76130, EFF, 2021X 006182, 076","France","EFF","2021X006182",76,"2021X","006","182",2021-08-05,"0180"
"76130, EFF, 2021X 006182, 076","France","EFF","2021X006182",76,"2021X","006","182",2021-08-05,"0180"
"76130, EFF, 2021X 006182, 076","France","EFF","2021X006182",76,"2021X","006","182",2021-08-05,"0180"
"Pakistan, NAT, 2020X 034600, 094","Pakistan","NAT","2020X034600",94,"2020X","034","600",2021-08-05,"0180"
"75014, EFF, 2020X 034600, 094","France","EFF","2020X034600",94,"2020X","034","600",2021-08-05,"0180"
"Algérie, NAT, 2021X 304109, 092","Algérie","NAT","2021X304109",92,"2021X","304","109",2021-08-05,"0180"
"Algérie, NAT, 2021X 005604, 094","Algérie","NAT","2021X005604",94,"2021X","005","604",2021-08-05,"0180"
"Italie, EFF, 2021X 001026, 083","Italie","EFF","2021X001026",83,"2021X","001","026",2021-08-05,"0180"
"Maroc, NAT, 2021X 001026, 083","Maroc","NAT","2021X001026",83,"2021X","001","026",2021-08-05,"0180"
"Maroc, NAT, 2021X 006071, 095","Maroc","NAT","2021X006071",95,"2021X","006","071",2021-08-05,"0180"
"Sri Lanka, NAT, 2021X 000778, 093","Sri Lanka","NAT","2021X000778",93,"2021X","000","778",2021-08-05,"0180"
"Turquie, NAT, 2020X 015516, 008","Turquie","NAT","2020X015516",8,"2020X","015","516",2021-08-05,"0180"
"Algérie, NAT, 2021X 303255, 002","Algérie","NAT","2021X303255",2,"2021X","303","255",2021-08-05,"0180"
"Togo, NAT, 2021X 006140, 074","Togo","NAT","2021X006140",74,"2021X","006","140",2021-08-05,"0180"
"Maroc, NAT, 2021X 005225, 092","Maroc","NAT","2021X005225",92,"2021X","005","225",2021-08-05,"0180"
"Afghanistan, NAT, 2020X 034233, 058","Afghanistan","NAT","2020X034233",58,"2020X","034","233",2021-08-05,"0180"
"Afghanistan, NAT, 2020X 034234, 058","Afghanistan","NAT","2020X034234",58,"2020X","034","234",2021-08-05,"0180"
"Russie, NAT, 2020X 035208, 034","Russie","NAT","2020X035208",34,"2020X","035","208",2021-08-05,"0180"
"Turquie, NAT, 2021X 002035, 057","Turquie","NAT","2021X002035",57,"2021X","002","035",2021-08-05,"0180"
"73000, EFF, 2020X 034503, 073","France","EFF","2020X034503",73,"2020X","034","503",2021-08-05,"0180"
"Sénégal, NAT, 2021X 000276, 067","Sénégal","NAT","2021X000276",67,"2021X","000","276",2021-08-05,"0180"
"67200, EFF, 2021X 000276, 067","France","EFF","2021X000276",67,"2021X","000","276",2021-08-05,"0180"
"Yémen, NAT, 2020X 022210, 094","Yémen","NAT","2020X022210",94,"2020X","022","210",2021-08-05,"0180"
"Argentine, NAT, 2021X  000224, 045","Argentine","NAT","2021X 000224",45,"2021X"," 00","022",2021-08-05,"0180"
